,movie_title,soup
34,X-Men: The Last Stand,color brettratner kelseygrammer action adventure fantasy sci-fi thriller hughjackman danielcudmore battle mutant outrage walkingthroughawall xmen english canada pg-13
35,Monsters University,color danscanlon tylerlabine adventure animation comedy family fantasy stevebuscemi seanhayes cheating fraternity monster singinginacar university english usa g
36,Transformers: Revenge of the Fallen,color michaelbay kevindunn action adventure sci-fi glennmorshower ramonrodriguez autobot decepticon machine sun symbol english usa pg-13
37,Transformers: Age of Extinction,color michaelbay sophiamyles action adventure sci-fi bingbingli kelseygrammer blockbuster bumblebeethecharacter semitruckandtrailer texas truck english usa pg-13
38,Oz the Great and Powerful,color samraimi milakunis adventure family fantasy timholmes jamesfranco circus magic magician oz witch english usa pg
39,The Amazing Spider-Man 2,color marcwebb andrewgarfield action adventure fantasy sci-fi emmastone b.j.novak costumedhero deathofgirlfriend maskedvigilante returningcharacterkilledoff teenager english usa pg-13
40,TRON: Legacy,color josephkosinski oliviawilde action adventure sci-fi jeffbridges jamesfrain arcade bridge disappearance escape warrior english usa pg
41,Cars 2,color johnlasseter thomaskretschmann adventure animation comedy family sport joemantegna eddieizzard bestfriend carrace conspiracy gadgetcar spy english usa g
42,Green Lantern,color martincampbell temueramorrison action adventure sci-fi ryanreynolds taikawaititi autopsy lantern planet ring testpilot english usa pg-13
43,Toy Story 3,color leeunkrich johnratzenberger adventure animation comedy family fantasy tomhanks donrickles college daycare escape teddybear toy english usa g
44,Terminator Salvation,color mcg brycedallashoward action adventure sci-fi christianbale common deathrow future machine rescue skynet english usa pg-13
45,Furious 7,color jameswan paulwalker action crime thriller jasonstatham vindiesel carfallingoffacliff hospital revenge stardiedbeforerelease terrorist english usa pg-13
46,World War Z,color marcforster bradpitt action adventure horror sci-fi thriller petercapaldi mireilleenos chaos disease infection pandemic zombie english usa pg-13
47,X-Men: Days of Future Past,color bryansinger peterdinklage action adventure fantasy sci-fi thriller jenniferlawrence hughjackman dystopia superstrength supernaturalpower timeparadox timetravel english usa pg-13
48,Star Trek Into Darkness,color j.j.abrams brucegreenwood action adventure sci-fi benedictcumberbatch noelclarke admiral captain manhunt mission space english usa pg-13
49,Jack the Giant Slayer,color bryansinger ewenbremner adventure fantasy eddiemarsan ralphbrown bean giant king noopeningcredits princess english usa pg-13
50,The Great Gatsby,color bazluhrmann elizabethdebicki drama romance leonardodicaprio stevebisley ingratitude mansion party titleappearsinwriting tragedy english australia pg-13
51,Prince of Persia: The Sands of Time,color mikenewell richardcoyle action adventure fantasy romance jakegyllenhaal reeceritchie alamut dagger king persia princess english usa pg-13
52,Pacific Rim,color guillermodeltoro cliftoncollinsjr. action adventure sci-fi charliehunnam larryjoecampbell giantmonster kaiju pilot portal robot english usa pg-13
53,Transformers: Dark of the Moon,color michaelbay lesterspeight action adventure sci-fi glennmorshower kevindunn autobot decepticon jobinterview moon spacecraft english usa pg-13
54,Indiana Jones and the Kingdom of the Crystal Skull,color stevenspielberg raywinstone action adventure fantasy harrisonford jimbroadbent cultfigure femmefatale indianajones unsubtitledforeignlanguage year1957 english usa pg-13
56,Brave,color markandrews johnratzenberger adventure animation comedy family fantasy kellymacdonald juliewalters archery comingofage femalewarrior princess rebelliousdaughter english usa pg
57,Star Trek Beyond,color justinlin melissaroxburgh action adventure sci-fi thriller sofiaboutella lydiawilson hatred sequel spaceopera startrek thirdpart english usa pg-13
58,WALL·E,color andrewstanton fredwillard adventure animation family sci-fi johnratzenberger jeffgarlin earth obesity plant robot soil english usa g
59,Rush Hour 3,color brettratner danaivey action comedy crime thriller tzima noémielenoir ambassador assassination chinese french triad english usa pg-13
60,2012,color rolandemmerich liamjames action adventure sci-fi oliverplatt tommccarthy ark catastrophe geologist president writer english usa pg-13
61,A Christmas Carol,color robertzemeckis colinfirth animation drama family fantasy robinwright garyoldman charlesdickens christmas christmaseve ghost scrooge english usa pg
62,Jupiter Ascending,color lanawachowski milakunis action adventure sci-fi channingtatum eddieredmayne boxofficeflop criticallybashed planetearth spaceopera womaninbraandpanties english usa pg-13
63,The Legend of Tarzan,color davidyates alexanderskarsgård action adventure drama romance christophwaltz caspercrump africa capture jungle maleobjectification tarzan english usa pg-13
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",color andrewadamson kiranshah adventure family fantasy jimbroadbent shanerangi hideandseek lion magic professor snow english usa pg
65,X-Men: Apocalypse,color bryansinger michaelfassbender action adventure sci-fi jenniferlawrence tyesheridan mutant superhero superheroteam xmen year1983 english usa pg-13
66,The Dark Knight,color christophernolan heathledger action crime drama thriller christianbale morganfreeman basedoncomicbook dccomics psychopath stardiedbeforerelease urbansetting english usa pg-13
67,Up,color petedocter delroylindo adventure animation comedy family johnratzenberger jessharnell balloon house promise retirement skeleton english usa pg
68,Monsters vs. Aliens,color robletterman rainnwilson action adventure animation comedy family sci-fi amypoehler stephencolbert alien alieninvasion alienspacecraft giant giantess english usa pg
69,Iron Man,color jonfavreau jeffbridges action adventure sci-fi robertdowneyjr. jonfavreau afghanistan billionaire inventor playboy u.s.airforce english usa pg-13
70,Hugo,color martinscorsese christopherlee adventure drama family mystery chloëgracemoretz raywinstone automaton mechanical railwaystation steampunk train english usa pg
71,Wild Wild West,color barrysonnenfeld salmahayek action comedy sci-fi western willsmith bailing buddymovie general inventor steampunk utah english usa pg-13
72,The Mummy: Tomb of the Dragon Emperor,color robcohen brendanfraser action adventure fantasy horror thriller jetli russellwong army china emperor mummy shangrila english usa pg-13
73,Suicide Squad,color davidayer robinatkindownes action adventure comedy sci-fi willsmith ikebarinholtz basedoncomicbook criticallybashed fatherdaughterrelationship referencetosuperman supervillain english usa pg-13
74,Evan Almighty,color tomshadyac morganfreeman comedy family fantasy jimmybennett stevecarell ark change congressman depictionofgod flood english usa pg
75,Edge of Tomorrow,color dougliman larapulver action adventure sci-fi tomcruise noahtaylor alien combat dyingrepeatedly endoftheworld timeloop english usa pg-13
76,Waterworld,color kevinreynolds rickaviles action adventure sci-fi thriller jeannetripplehorn zakesmokae future sail sea smoker water english usa pg-13
77,G.I. Joe: The Rise of Cobra,color stephensommers dennisquaid action adventure sci-fi thriller josephgordon-levitt leohoward cobra gijoe snake train warhead english usa pg-13
78,Inside Out,color petedocter mindykaling adventure animation comedy drama family fantasy amypoehler phyllissmith anger joy memory runningaway sadness english usa pg
79,The Jungle Book,color jonfavreau billmurray adventure drama family fantasy scarlettjohansson garryshandling fire jungle remake tiger wolf english uk pg
80,Iron Man 2,color jonfavreau scarlettjohansson action adventure sci-fi robertdowneyjr. jonfavreau hammer military monaco revenge tonystark english usa pg-13
81,Snow White and the Huntsman,color rupertsanders kristenstewart action adventure drama fantasy chrishemsworth samclaflin evilqueen fairytale magic queen snowwhite english usa pg-13
82,Maleficent,color robertstromberg sharltocopley action adventure family fantasy romance angelinajoliepitt samriley curse darkfantasy fairy king kingdom english usa pg
83,Dawn of the Planet of the Apes,color mattreeves judygreer action adventure drama sci-fi garyoldman kodismit-mcphee ape dam leader postapocalypse sequel english usa pg-13
85,47 Ronin,color carlrinsch cary-hiroyukitagawa action adventure drama fantasy keanureeves jinakanishi boxofficeflop ronin samurai shogun tournament english usa pg-13
86,Captain America: The Winter Soldier,color anthonyrusso chrisevans action adventure sci-fi scarlettjohansson hayleyatwell conspiracy heroism megalomaniac supersoldier worlddomination english usa pg-13
87,Shrek Forever After,color mikemitchell kathygriffin adventure animation comedy family fantasy jonhamm marykayplace alternateworld fairytaleparody femalewarrior ogre truelove english usa pg
88,Tomorrowland,color bradbird chrisbauer action adventure family mystery sci-fi judygreer thomasrobinson boygenius futuristiccity inventor teenagegirl timetravel english usa pg
89,Big Hero 6,color donhall danielhenney action adventure animation comedy drama family sci-fi damonwayansjr. abrahambenrubi hightech martialarts maskedman robot superhero english usa pg
90,Wreck-It Ralph,color richmoore sarahsilverman adventure animation comedy family sci-fi jackmcbrayer joelotruglio arcade candy glitch king medal english usa pg
91,The Polar Express,color robertzemeckis eddiedeezen adventure animation family fantasy tomhanks peterscolari boy christmas christmaseve northpole train english usa g
92,Independence Day: Resurgence,color rolandemmerich selaward action adventure sci-fi vivicaa.fox juddhirsch alien battle defense independenceday mothership english usa pg-13
93,How to Train Your Dragon,color deandeblois americaferrera adventure animation family fantasy gerardbutler craigferguson dragon island training viking village english usa pg
94,Terminator 3: Rise of the Machines,color jonathanmostow m.c.gainey action sci-fi nickstahl carolynhennesy drifter explodingtruck future machine skynet english usa r
95,Guardians of the Galaxy,color jamesgunn vindiesel action adventure sci-fi bradleycooper djimonhounsou bountyhunter outerspace raccoon talkinganimal tree english usa pg-13
96,Interstellar,color christophernolan annehathaway adventure drama sci-fi matthewmcconaughey mackenziefoy blackhole fatherdaughterrelationship savingtheworld spacetravel wormhole english usa pg-13
97,Inception,color christophernolan tomhardy action adventure sci-fi thriller leonardodicaprio josephgordon-levitt ambiguousending corporateespionage dream subconscious thief english usa pg-13
100,The Fast and the Furious,color robcohen vindiesel action crime thriller paulwalker jordanabrewster eighteenwheeler illegalstreetracing truck trucker undercovercop english usa pg-13
101,The Curious Case of Benjamin Button,color davidfincher jasonflemyng drama fantasy romance bradpitt juliaormond deformedbaby diary lingerieslip oldermanyoungerwomanrelationship prematureaging english usa pg-13
102,X-Men: First Class,color matthewvaughn michaelfassbender action adventure sci-fi jenniferlawrence oliverplatt cia ciaagent mutant nuclearwar professor english usa pg-13
103,The Hunger Games: Mockingjay - Part 2,color francislawrence philipseymourhoffman adventure sci-fi jenniferlawrence joshhutcherson deathofsister dystopia execution rebellion revolution english usa pg-13
104,The Sorcerer's Apprentice,color jonturteltaub omarbensonmiller action adventure family fantasy nicolascage robertcapron chosenone enchantedobject love spell training english usa pg
105,Poseidon,color wolfgangpetersen mikevogel action adventure drama thriller jimmybennett andrebraugher cruise escape ocean passenger water english usa pg-13
106,Alice Through the Looking Glass,color jamesbobin alanrickman adventure family fantasy johnnydepp annehathaway clock darkfantasy madhatter queen sequel english usa pg
107,Shrek the Third,color chrismiller ericidle adventure animation comedy family fantasy justintimberlake ruperteverett disneyspoof fairytale prince princess toughguy english usa pg
108,Warcraft,color duncanjones callumrennie action adventure fantasy dominiccooper ruthnegga basedonvideogame fictionallanguage fictionalwar orc swordandsorcery english usa pg-13
109,Terminator Genisys,color alantaylor emiliaclarke action adventure sci-fi j.k.simmons mattsmith alternatetimeline cyborg future robot timemachine english usa pg-13
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,color michaelapted shanerangi adventure family fantasy brucespence laurabrent dragon king mouse quest warrior english usa pg
111,Pearl Harbor,blackandwhite michaelbay jaimeking action drama history romance war jennifergarner mako airraid blacksmoke japanesemilitary japanesenavy sunday english usa pg-13
112,Transformers,color michaelbay michaelo'neill action adventure sci-fi zackward kevindunn aliencontact autobot decepticon robotvs.robot teenagehero english usa pg-13
113,Alexander,color oliverstone angelinajoliepitt action adventure biography drama history romance war anthonyhopkins brianblessed ancientgreece conquest greek greekmyth king english germany r
114,Harry Potter and the Order of the Phoenix,color davidyates danielradcliffe adventure family fantasy mystery robertpattinson fionashaw battle magic school teacher wizard english uk pg-13
115,Harry Potter and the Goblet of Fire,color mikenewell danielradcliffe adventure family fantasy mystery robertpattinson rupertgrint fire goblet magic tournament wizard english uk pg-13
116,Hancock,color peterberg charlizetheron action drama willsmith eddiemarsan bullycomeuppance destruction prison superhero toughgirl english usa pg-13
117,I Am Legend,color francislawrence alicebraga drama horror sci-fi willsmith willowsmith newyorkcity pandemic postapocalypse survivalist virus english usa pg-13
118,Charlie and the Chocolate Factory,color timburton christopherlee adventure comedy family fantasy johnnydepp davidkelly chocolate diminution miniaturization physicalflexability ticket english usa pg
119,Ratatouille,color bradbird johnratzenberger animation comedy family fantasy janeanegarofalo briandennehy chef food french rat restaurant english usa g
120,Batman Begins,color christophernolan liamneeson action adventure christianbale morganfreeman armoredcar gangster gotham mixedmartialarts socialdecay english usa pg-13
121,Madagascar: Escape 2 Africa,color ericdarnell jadapinkettsmith action adventure animation comedy family berniemac cedrictheentertainer africa madagascar newyorkcity sequel zoo english usa pg
122,Night at the Museum: Battle of the Smithsonian,color shawnlevy ramimalek adventure comedy family fantasy robinwilliams stevecoogan hdtv motorcycle museum securityguard tyrannosaurusrex english usa pg
123,X-Men Origins: Wolverine,color gavinhood ryanreynolds action adventure fantasy sci-fi thriller hughjackman dominicmonaghan army civilwar clawfight commando wolverinethecharacter english usa pg-13
124,The Matrix Revolutions,color lanawachowski collinchou action sci-fi essiedavis nonagaye battle epic fight future machine english australia r
125,Frozen,color chrisbuck mauricelamarche adventure animation comedy family fantasy musical joshgad livvystubenrauch magic sisterlove sistersisterrelationship snow snowman english usa pg
126,The Matrix Reloaded,color lanawachowski danielbernhardt action sci-fi stevebastoni helmutbakaitis carmotorcyclechase oneagainstmany oracle prophecy stylizedviolence english usa r
127,Thor: The Dark World,color alantaylor natalieportman action adventure fantasy chrishemsworth anthonyhopkins arrest portal thor warrior weapon english usa pg-13
128,Mad Max: Fury Road,color georgemiller charlizetheron action adventure sci-fi thriller tomhardy zoëkravitz australia desert escape ontherun postapocalypse english australia r
129,Angels & Demons,color ronhoward ayeletzurer mystery thriller tomhanks arminmueller-stahl conclave illuminati murder referencetobernini referencetoraphael english usa pg-13
130,Thor,color kennethbranagh natalieportman action adventure fantasy chrishemsworth anthonyhopkins battle marvelcinematicuniverse scientist thor throne english usa pg-13
131,Bolt,color byronhoward diedrichbader adventure animation comedy drama family chloëgracemoretz jameslipton cat dog hamster newyorkcity superpower english usa pg
132,G-Force,color hoytyeatman pipermackenzieharris action adventure animation comedy family fantasy sci-fi kelligarner niecynash fbidirector guineapig householdappliance secretagent talkingmouse english usa pg
133,Wrath of the Titans,color jonathanliebesman edgarramírez action adventure fantasy liamneeson lilyjames ares hades titan underworld zeus english usa pg-13
134,Dark Shadows,color timburton chloëgracemoretz comedy fantasy horror johnnydepp christopherlee camerashotoffeet cartoonontv femalestockingedfeet femalestockingedsoles footcloseup english usa pg-13
135,Mission: Impossible - Rogue Nation,color christophermcquarrie jeremyrenner action adventure thriller tomcruise seanharris capture computerhacker mission rogueagent spy english china pg-13
136,The Wolfman,color joejohnston simonmerrells drama fantasy horror thriller anthonyhopkins artmalik asylum death fullmoon transformation werewolf english usa r
137,The Legend of Tarzan,color davidyates alexanderskarsgård action adventure drama romance christophwaltz caspercrump africa capture jungle maleobjectification tarzan english usa pg-13
138,Bee Movie,color stevehickner oprahwinfrey adventure animation comedy family matthewbroderick riptorn bee dreamsequence egg scatologicalhumor squashedbug english usa pg
139,Kung Fu Panda 2,color jenniferyuhnelson garyoldman action adventure animation comedy family angelinajoliepitt mikebell china kungfu panda peacock tigress english usa pg
140,The Last Airbender,color m.nightshyamalan noahringer action adventure family fantasy seychellegabriel aasifmandvi avatar fire kingdom tribe water english usa pg
141,Mission: Impossible III,color j.j.abrams tomcruise action adventure thriller philipseymourhoffman eddiemarsan armsdealer fictionalgovernmentagency mission rescue vatican english usa pg-13
142,White House Down,color rolandemmerich jakeweber action drama thriller channingtatum mattcraven blacku.s.president president secretservice tour whitehouse english usa pg-13
143,Mars Needs Moms,color simonwells danfogler action adventure animation comedy family sci-fi elisabethharnois tomeverettscott boy martian rescue robot sexism english usa pg
144,Flushed Away,color davidbowers katewinslet adventure animation comedy family hughjackman davidsuchet boat frog rat sewer toad english uk pg
145,Pan,color joewright caradelevingne adventure family fantasy hughjackman nonsoanozie 1940s childhero fantasyworld orphan referencetopeterpan english usa pg
146,Mr. Peabody & Sherman,color robminkoff zachcallison adventure animation comedy family sci-fi tyburrell karanbrar dog fathersonrelationship inventor talkingdog timetravel english usa pg
147,Troy,color wolfgangpetersen orlandobloom adventure bradpitt julianglover greek mythology prince trojan troy english usa r
148,Madagascar 3: Europe's Most Wanted,color ericdarnell martinshort adventure animation comedy family jadapinkettsmith cedrictheentertainer animal circus islandnameintitle lemur penguin english usa pg
149,Die Another Day,blackandwhite leetamahori colinsalmon action adventure thriller tobystephens rickyune catfight clinic colonel diamond patricide english uk pg-13
150,Ghostbusters,color paulfeig katemckinnon action comedy fantasy sci-fi edbegleyjr. zachwoods ghost ghostbuster ghostbusters maleobjectification reboot english usa pg-13
151,Armageddon,color michaelbay stevebuscemi action adventure sci-fi thriller brucewillis willpatton asteroid astronaut bomb meteorite outerspace english usa pg-13
152,Men in Black II,color barrysonnenfeld rosariodawson action adventure comedy family fantasy mystery sci-fi willsmith riptorn alien lingerie lingeriemodel m.i.b. pug english usa pg-13
153,Beowulf,color robertzemeckis anthonyhopkins action adventure animation fantasy robinwright sebastianroché creature demon king reward warrior english usa pg-13
154,Kung Fu Panda 3,color alessandrocarloni angelinajoliepitt action adventure animation comedy family j.k.simmons wayneknight china kungfu panda pig village english usa pg
155,Mission: Impossible - Ghost Protocol,color bradbird jeremyrenner action adventure thriller tomcruise michaelnyqvist dubai kremlin raceagainsttime russian terrorist english usa pg-13
156,Rise of the Guardians,color peterramsey kamilmcfadden adventure animation family fantasy hughjackman khamanigriffin belief boxofficehit children newyorkcity tooth english usa pg
157,Fun with Dick and Jane,color deanparisot richardburgi comedy crime johnmichaelhiggins davidherman animalabuse ceo heist suburb unemployment english usa pg-13
158,The Last Samurai,color edwardzwick tonygoldwyn action drama history war tomcruise chadlindberg captain emperor honor japan samurai english usa r
159,Exodus: Gods and Kings,color ridleyscott maríavalverde action adventure drama christianbale benmendelsohn egypt exodus moses pharaoh plague english uk pg-13
160,Star Trek,color j.j.abrams leonardnimoy action adventure sci-fi chrishemsworth brucegreenwood boxofficehit future liftedbythethroat startrek vulcan english usa pg-13
161,Spider-Man,color samraimi jamesfranco action adventure fantasy romance j.k.simmons kirstendunst evil goblin spider spiderman superhero english usa pg-13
162,How to Train Your Dragon 2,color deandeblois djimonhounsou action adventure animation comedy family fantasy gerardbutler americaferrera dragon fathersonrelationship husbandwiferelationship mothersonrelationship viking english usa pg
163,Gods of Egypt,color alexproyas elodieyung action adventure fantasy gerardbutler bryanbrown ancientegypt egypt egyptian egyptiangod egyptiangoddess english usa pg-13
164,Stealth,color robcohen joemorton action adventure sci-fi thriller samshepard richardroxburgh artificialintelligence boxofficeflop fighterjet navy pilot english usa pg-13
165,Watchmen,color zacksnyder billycrudup action drama mystery sci-fi mattfrewer stephenmchattie conspiracy cynicism falsepromiseoftheamericandream malefullfrontalnudity malenudity english usa r
166,Lethal Weapon 4,color richarddonner renerusso action crime thriller jetli darlenelove kungfu lapd martialarts privateinvestigator triad english usa r
167,Hulk,color anglee regidavis action sci-fi kevinrankin celiaweston 1980s c130hercules monster panzer sanfranciscocalifornia english usa pg-13
168,G.I. Joe: Retaliation,color jonm.chu dwaynejohnson action adventure sci-fi thriller channingtatum elodieyung general gijoe martialarts ninja president english usa pg-13
169,Sahara,color breckeisner rainnwilson action adventure comedy thriller matthewmcconaughey delroylindo beach civilwar desert dictator ship english uk pg-13
170,Final Fantasy: The Spirits Within,color hironobusakaguchi ming-nawen action adventure animation fantasy romance sci-fi stevebuscemi jeansimmons general military scientist soldier year2065 english usa pg-13
171,Captain America: The First Avenger,color joejohnston dominiccooper action adventure sci-fi chrisevans hayleyatwell arctic captainamerica scientist tesseract warbond english usa pg-13
172,The World Is Not Enough,color michaelapted mariagraziacucinotta action adventure thriller colinsalmon desmondllewelyn british oil scientist terrorist tycoon english uk pg-13
173,Master and Commander: The Far Side of the World,color peterweir leeingleby action adventure drama history war jamesd'arcy davidthrelfall 1800s napoleonicwars pursuit royalnavy ship english usa pg-13
174,The Twilight Saga: Breaking Dawn - Part 2,color billcondon kristenstewart adventure drama fantasy romance robertpattinson taylorlautner battle friend superstrength vampire vision english usa pg-13
175,Happy Feet 2,color georgemiller bradpitt animation comedy family musical robinwilliams common 3d antarctica krill penguin sequel english australia pg
176,The Incredible Hulk,color louisleterrier petermensah action adventure sci-fi tyburrell williamhurt antidote cure hulk marvelcinematicuniverse openingactionscene english usa pg-13
178,The BFG,color stevenspielberg penelopewilton adventure family fantasy markrylance rafespall cannibal evilbrother giant londonengland queen english uk pg
179,The Revenant,color alejandrog.iñárritu tomhardy adventure drama thriller western leonardodicaprio lukashaas bearattack cauterizingawound nativeamerican revenge survival english usa r
180,Turbo,color davidsoren snoopdogg adventure animation comedy family sport ryanreynolds benschwartz accident freakaccident race snail underdog english usa pg
181,Rango,color goreverbinski raywinstone adventure animation comedy family western johnnydepp stephenroot chameleon lizard sheriff water westerntown english usa pg
182,Penguins of Madagascar,color ericdarnell annetmahendru adventure animation comedy family benedictcumberbatch andyrichter littlegirl park spy statueofliberty televisionvan english usa pg
183,The Bourne Ultimatum,color paulgreengrass edgarramírez action mystery thriller mattdamon albertfinney actionhero cia darkpast flashback memory english usa pg-13
184,Kung Fu Panda,color markosborne wayneknight action adventure animation comedy family angelinajoliepitt danfogler kungfu kungfumaster master panda snowleopard english usa pg
185,Ant-Man,color peytonreed hayleyatwell action adventure comedy sci-fi judygreer t.i. ant chinatownsanfrancisco heist sabotage vault english usa pg-13
186,The Hunger Games: Catching Fire,color francislawrence joshhutcherson adventure sci-fi thriller jenniferlawrence sandraellislafferty president snow television tour uprising english usa pg-13
187,The Twilight Saga: Breaking Dawn - Part 2,color billcondon kristenstewart adventure drama fantasy romance robertpattinson taylorlautner battle friend superstrength vampire vision english usa pg-13
188,Home,color timjohnson mattjones adventure animation comedy family fantasy sci-fi jimparsons aprilwinchell alienfriendship alieninvasion australia flyingcar motherdaughterrelationship english usa pg
189,War of the Worlds,color stevenspielberg lisaannwalter adventure sci-fi thriller tomcruise rickgonzalez alien fight storm survival tripod english usa pg-13
190,Bad Boys II,color michaelbay henryrollins action comedy crime thriller willsmith jordimollà cuba dea drugs money undercover english usa r
191,Puss in Boots,color chrismiller constancemarie action adventure animation comedy family fantasy salmahayek amysedaris betrayal egg friend goose hero english usa pg
192,Salt,color phillipnoyce andrebraugher action crime mystery thriller angelinajoliepitt augustdiehl cia ontherun russian russianspy strongfemalelead english usa pg-13
193,Noah,color darrenaronofsky emmawatson action adventure drama anthonyhopkins loganlerman ark flood noah'sark water wrathofgod english usa pg-13
194,The Adventures of Tintin,color stevenspielberg mackenziecrook action adventure family mystery tobyjones tonycurran captain morocco ship tintin treasure english usa pg
195,Harry Potter and the Prisoner of Azkaban,color alfonsocuarón garyoldman adventure family fantasy mystery danielradcliffe rupertgrint magic muggle serialkiller traitor wizard english uk pg
196,Australia,color bazluhrmann bryanbrown adventure drama romance war essiedavis eddiebaroo australia cattle darwin drover japanese english australia pg-13
197,After Earth,color m.nightshyamalan zoëkravitz action adventure sci-fi willsmith glennmorshower boxofficeflop fathersonteam fear raceagainsttime reallifefatherandsonplayingfatherandson english usa pg-13
198,Dinosaur,color ericleighton d.b.sweeney adventure animation family thriller alfrewoodard dellareese egg iguanodon lemur meteor nestinggrounds english usa pg
